Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
CRISIL LTD,CRISIL,CRISIL,INR,95305491,NSE,STK
CROMPTON GREAVES LIMITED,CROMPGREA,CROMPGREAV,INR,56985479,NSE,STK
CUBEX TUBINGS LIMITED,CUBEXTUB,CUBEXTUB,INR,56985545,NSE,STK
CUMMINS INDIA LTD,CUMMINSIN,CUMMINSIND,INR,56985045,NSE,STK
CURA TECHNOLOGIES LTD,CURATECH,CURATECH,INR,56989159,NSE,STK
CYBER MEDIA INDIA LTD,CYBERMEDI,CYBERMEDIA,INR,56985548,NSE,STK
CYBERTECH SYSTEMS & SOFTWARE,CYBERTECH,CYBERTECH,INR,56985554,NSE,STK
CYIENT LTD,CYIENT,CYIENT,INR,56985714,NSE,STK
D-LINK INDIA LTD,DLINKINDI,DLINKINDIA,INR,60890242,NSE,STK
D.B. CORP LIMITED,DBCORP,DBCORP,INR,71748467,NSE,STK
D.S. KULKARNI DEVELOPERS,DSKULKARN,DSKULKARNI,INR,56984115,NSE,STK
DABUR INDIA LIMITED,DABUR,DABUR,INR,44652199,NSE,STK
DALMIA BHARAT LTD,DALMIABHA,DALMIABHA,INR,83386668,NSE,STK
DALMIA BHARAT SUGAR & INDUST,DALMIASUG,DALMIASUG,INR,56983997,NSE,STK
DATAMATICS GLOBAL SERVICES,DATAMATIC,DATAMATICS,INR,56983991,NSE,STK
DB INTL STOCK BROKERS LTD,DBSTOCKBR,DBSTOCKBRO,INR,79427381,NSE,STK
DB REALTY LTD,DBREALTY,DBREALTY,INR,72950257,NSE,STK
DCB BANK LTD,DCBBANK,DCBBANK,INR,56984045,NSE,STK
DCM LIMITED,DCM,DCM,INR,56984005,NSE,STK
DCM SHRIRAM LTD,DCMSRMCON,DCMSHRIRAM,INR,56984015,NSE,STK
