serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
531,EKC,EKC,STK,NSE,,INR,,,,1,,100,
532,EVERONN,EVERONN,STK,NSE,,INR,,,,1,,100,
533,EXCELCROP,EXCELCROP,STK,NSE,,INR,,,,1,,100,
534,EXCELINDU,EXCELINDUS,STK,NSE,,INR,,,,1,,100,
535,EXCELINFO,EXCELINFO,STK,NSE,,INR,,,,1,,100,
536,EXIDEIND,EXIDEIND,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:IDT
537,FAGBEARIN,FAGBEARING,STK,NSE,,INR,,,,1,,4,ADR:CNX500
538,FARMAXIND,FARMAXIND,STK,NSE,,INR,,,,1,,100,
539,FCSSOFT,FCSSOFT,STK,NSE,,INR,,,,1,,100,
540,FDC,FDC,STK,NSE,,INR,,,,1,,4,ADR:CNX500
541,FEDDERLOY,FEDDERLOYD,STK,NSE,,INR,,,,1,,100,
542,FEDERALBN,FEDERALBNK,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:IDT
543,FMGOETZE,FMGOETZE,STK,NSE,,INR,,,,1,,4,ADR:CNX500
544,FACT,FACT,STK,NSE,,INR,,,,1,,100,
